### sacct (since yesterday)  20260729_114720
JobID                     JobName      State ExitCode    Elapsed               Start                 End 
54674050_34         catalog_count  COMPLETED      0:0   00:07:54 2026-07-28T11:40:38 2026-07-28T11:48:32 
54674050_35         catalog_count  COMPLETED      0:0   00:06:35 2026-07-28T11:40:38 2026-07-28T11:47:13 
54674050_36         catalog_count  COMPLETED      0:0   00:05:18 2026-07-28T11:40:38 2026-07-28T11:45:56 
54674050_37         catalog_count  COMPLETED      0:0   00:11:47 2026-07-28T11:40:38 2026-07-28T11:52:25 
54674050_38         catalog_count  COMPLETED      0:0   00:02:29 2026-07-28T11:40:38 2026-07-28T11:43:07 
54674050_39         catalog_count  COMPLETED      0:0   00:08:06 2026-07-28T11:40:38 2026-07-28T11:48:44 
54674050_40         catalog_count  COMPLETED      0:0   00:02:26 2026-07-28T11:40:38 2026-07-28T11:43:04 
54674050_41         catalog_count  COMPLETED      0:0   00:01:12 2026-07-28T11:40:38 2026-07-28T11:41:50 
54674050_42         catalog_count  COMPLETED      0:0   00:01:34 2026-07-28T11:40:38 2026-07-28T11:42:12 
54674050_43         catalog_count  COMPLETED      0:0   00:04:03 2026-07-28T11:40:38 2026-07-28T11:44:41 
54674050_44         catalog_count  COMPLETED      0:0   00:07:49 2026-07-28T11:40:38 2026-07-28T11:48:27 
54675520          compare_summary  COMPLETED      0:0   00:01:10 2026-07-28T12:20:36 2026-07-28T12:21:46 
54675538          compare_summary  COMPLETED      0:0   00:01:05 2026-07-28T12:24:27 2026-07-28T12:25:32 
54675846          compare_summary  COMPLETED      0:0   00:01:43 2026-07-28T12:43:47 2026-07-28T12:45:30 
54676022          compare_summary  COMPLETED      0:0   00:02:59 2026-07-28T12:49:15 2026-07-28T12:52:14 
54678317_1          catalog_count  COMPLETED      0:0   00:04:24 2026-07-28T13:11:15 2026-07-28T13:15:39 
54678317_2          catalog_count  COMPLETED      0:0   00:20:08 2026-07-28T13:11:15 2026-07-28T13:31:23 
54678317_3          catalog_count  COMPLETED      0:0   00:14:00 2026-07-28T13:11:15 2026-07-28T13:25:15 
54678317_4          catalog_count  COMPLETED      0:0   00:06:53 2026-07-28T13:11:15 2026-07-28T13:18:08 
54678317_5          catalog_count  COMPLETED      0:0   00:11:07 2026-07-28T13:11:15 2026-07-28T13:22:22 
54678317_6          catalog_count  COMPLETED      0:0   00:09:01 2026-07-28T13:11:15 2026-07-28T13:20:16 
54678317_7          catalog_count  COMPLETED      0:0   00:02:32 2026-07-28T13:11:15 2026-07-28T13:13:47 
54678317_8          catalog_count  COMPLETED      0:0   00:16:26 2026-07-28T13:11:15 2026-07-28T13:27:41 
54678317_9          catalog_count  COMPLETED      0:0   00:06:59 2026-07-28T13:11:15 2026-07-28T13:18:14 
54678317_10         catalog_count  COMPLETED      0:0   00:09:05 2026-07-28T13:11:15 2026-07-28T13:20:20 
54678317_11         catalog_count  COMPLETED      0:0   00:09:17 2026-07-28T13:11:15 2026-07-28T13:20:32 
54678317_12         catalog_count  COMPLETED      0:0   00:06:46 2026-07-28T13:11:15 2026-07-28T13:18:01 
54678317_13         catalog_count  COMPLETED      0:0   00:02:54 2026-07-28T13:11:15 2026-07-28T13:14:09 
54678317_14         catalog_count  COMPLETED      0:0   00:13:18 2026-07-28T13:11:15 2026-07-28T13:24:33 
54678317_15         catalog_count  COMPLETED      0:0   00:11:37 2026-07-28T13:11:15 2026-07-28T13:22:52 
